WeSing.WeDance.WeStealThings.,Jason Mraz, 2008-05-13 , Import , Audio CD ,9.1,112331人评价
VivaLaVida,Coldplay, 2008-06-17 , 专辑 , CD ,8.7,108403人评价
华丽的冒险,陈绮贞, 2005-09-23 , 专辑 , CD ,8.9,83198人评价
范特西,周杰伦, 2001-09-14 , 专辑 , CD ,9.2,140938人评价
後。青春期的詩,五月天, 2008-10-23 , 专辑 , CD ,8.8,89947人评价
是时候,孙燕姿, 2011-03-08 , 专辑 , CD ,8.6,77637人评价
Lenka,Lenka, 2008-09-23 , 专辑 , Audio CD ,8.5,80473人评价
StartfromHere,王若琳, 2008-01-11 , 专辑 , CD ,8.7,72333人评价
旅行的意义,陈绮贞, 2004-02-02 , 单曲 , CD ,9.2,90609人评价
太阳,陈绮贞, 2009-01-22 , 专辑 , CD ,8.6,71195人评价
Once(Soundtrack),Glen Hansard和Marketa Irglova, 2007-05-22 , Soundtrack , CD ,9.1,69564人评价
NotGoingAnywhere,Keren Ann, 2004-08-24 , Import , Audio CD ,8.9,61613人评价
AmericanIdiot,Green Day, 2004-09-21 , Explicit Lyrics , Audio CD ,8.9,68125人评价
思念是一种病,张震岳 Csun Yuk, 2007-07-06 , 专辑 , CD ,8.8,71925人评价
無與倫比的美麗,苏打绿, 2007-11-02 , 专辑 , CD ,8.6,79714人评价
亲爱的...我还不知道,张悬, 2007-07-20 , 专辑 , CD ,8.5,60015人评价
城市,张悬, 2009-05-22 , 专辑 , CD ,8.3,58160人评价
O,Damien Rice, 2003 , 专辑 , CD ,9.1,50919人评价
WakeMeUpWhenSeptemberEnds,Green Day, 2005-06-13 , 单曲 , CD ,9.3,52229人评价
叶惠美,周杰伦, 2003-07-31 , 专辑 , CD ,8.5,86112人评价
七里香,周杰伦, 2004 , 专辑 , CD ,8.1,121726人评价
21,Adele, 2011-02-01 , 专辑 , CD ,9.0,64713人评价
MyLifeWill...,张悬, 2006-06-09 , 专辑 , CD ,8.6,52667人评价
寓言,王菲, 2000 , 专辑 , CD ,9.3,58828人评价
你在煩惱什麼,苏打绿, 2011-11-11 , 专辑 , CD ,8.9,53749人评价
感官/世界,林宥嘉, 2009-10-30 , 专辑 , CD ,8.7,56041人评价
Nevermind,Nirvana, 1991 , 专辑 , CD ,9.2,54090人评价
八度空间,周杰伦, 2002-07-19 , 专辑 , CD ,8.5,71696人评价
Jay,周杰伦, 2000-11-13 , 专辑 , Audio CD ,8.9,71450人评价
Parachutes,Coldplay, 2000-07-10 , 专辑 , CD ,9.0,49935人评价
我要的幸福,孙燕姿, 2000-12-7 , 专辑 , CD ,8.9,53846人评价
还是会寂寞,陈绮贞, 2000 , 专辑 , CD ,9.0,46739人评价
LetGo,Avril Lavigne, 2002 , Enhanced , Audio CD ,8.8,51449人评价
十一月的萧邦,周杰伦, 2005-11-01 , 专辑 , CD ,7.9,77982人评价
橙月,方大同, 2008-12-19 , 专辑 , CD ,8.5,46479人评价
小宇宙,苏打绿, 2006-10-20 , 专辑 , CD ,8.7,48416人评价
若你碰到他,蔡健雅, 2009-08-19 , 专辑 , CD ,8.0,49208人评价
Lady&Bird,Lady & Bird, 2003 , Import , Audio CD ,8.8,42709人评价
万能青年旅店,万能青年旅店, 2010-11-12 , 专辑 , CD ,9.1,61846人评价
Meteora,Linkin Park, 2003-03-25 , Enhanced , Audio CD ,9.0,43427人评价
BackToBedlam,James Blunt, 2004 , Explicit Lyrics , Audio CD ,8.9,42274人评价
苏打绿同名专辑,苏打绿和蘇打綠, 2005年9月 , 国语 , CD ,8.6,50894人评价
静茹&情歌别再为他流泪,梁静茹, 2009-01-16 , 专辑 , Audio CD ,8.4,45024人评价
美妙生活,林宥嘉, 2011-05-06 , 专辑 , CD ,8.6,45611人评价
LeFabuleuxdestind'AméliePoulain,Yann Tiersen, 2001-04-23 , Soundtrack , Audio CD ,9.3,42505人评价
Joanna&王若琳,王若琳, 2009-01-16 , 专辑 , CD ,8.1,42279人评价
APleaEnVendredi,Tamas Wells, 2006 , Import , Audio CD ,9.0,38744人评价
ToHebe,田馥甄 Hebe, 2010-09-03 , 专辑 , CD ,8.0,43440人评价
逆光,孙燕姿, 2007-03-22 , Import , CD ,8.3,58448人评价
只爱陌生人,王菲, 1999-09-10 , Import , CD ,9.3,47702人评价
MusicForTourists,Chris Garneau, 2007-01-23 , 引进版 , Audio CD ,8.7,38492人评价
TheMoment,孙燕姿, 2003-08-22 , 专辑 , CD ,9.0,40468人评价
七,陈奕迅, 2003-11-20 , 选集 , CD ,9.4,40554人评价
春·日光,苏打绿, 2009-05-08 , 专辑 , CD ,8.0,43386人评价
100种生活,盧廣仲, 2008-5-27 , 专辑 , CD ,8.3,40553人评价
崇拜,梁静茹, 2007-11-09 , 专辑 , CD ,8.4,45739人评价
陈绮贞精选,陈绮贞, 2005 , 选集 , CD ,9.2,36055人评价
菊次郎の夏,Joe Hisaishi, 1999-05-19 , 专辑 , CD ,9.4,44895人评价
Fearless,Taylor Swift, 2008-11-11 , Enhanced , Audio CD ,8.4,47993人评价
LifeInCartoonMotion,Mika, 2007-02-05 , 专辑 , CD ,8.8,36452人评价
H³M,陈奕迅, 2009-03-23 , 专辑 , CD ,8.5,41502人评价
神秘嘉宾,林宥嘉, 2008-06-03 , 专辑 , CD ,8.4,43161人评价
LesChoristes,Bruno Coulais, 2004-05-03 , Soundtrack , Audio CD ,9.4,36714人评价
赤子,范晓萱&100%, 2009-08-10 , 专辑 , CD ,8.1,38769人评价
9,Damien Rice, 2006-11-06 , 专辑 , Audio CD ,8.9,36095人评价
将爱,王菲, 2003 , 专辑 , CD ,8.7,42058人评价
遇见我,曹方, 2005年12月 , 专辑 , CD ,8.4,38332人评价
梵高先生,李志, 2007-01-11 , CD , CD ,8.9,47038人评价
Timeless可啦思刻,方大同, 2009-08-11 , 自选集 , CD ,8.3,36967人评价
依然范特西,周杰伦, 2006-09-05 , 专辑 , CD ,7.7,60128人评价
风筝,孙燕姿, 2001-07-09 , 专辑 , CD ,8.8,40267人评价
完美的一天,孙燕姿, 2005-10-07 , 专辑 , CD ,8.1,42103人评价
SayIAmYou,The Weepies, 2006 , Import , Audio CD ,8.5,38298人评价
黑色柳丁,陶喆, 2002 , 专辑 , CD ,8.8,41990人评价
UnderMySkin,Avril Lavigne, 2004-05-12 , Import , Audio CD ,8.5,38288人评价
Stefanie,孙燕姿, 2004-10-1 , 专辑 , CD ,8.6,36980人评价
TheFame,Lady Gaga, 2008-08-19 , Import , Audio CD ,8.3,39898人评价
Mr.A-Z,Jason Mraz, 2005-07-04 , Import , Audio CD ,9.0,33816人评价
为爱而生,五月天, 2006-12-28 , 引进版 , CD ,8.4,38444人评价
DanielPowter,Daniel Powter, 2006 , 专辑 , Audio CD ,8.6,34345人评价
I'mYours,Jason Mraz, 2008-12-16 , Single , Audio CD ,9.4,37595人评价
在动物园散步才是正经事,My Little Airport, 2004-08-07 , 专辑 , CD ,8.2,38508人评价
时光·漫步,许巍 Wei Xu, 2002-12-01 , 专辑 , CD ,8.9,36392人评价
生如夏花,朴树, 2003-11-28 , 专辑 , CD ,8.6,51041人评价
我很忙,周杰伦, 2007-11-01 , 专辑 , CD ,7.3,58358人评价
夏/狂热,苏打绿, 2009-09-11 , 专辑 , CD ,8.3,37948人评价
绝世名伶,范晓萱, 2001-08-25 , 专辑 , CD ,8.8,33599人评价
哼一首歌等日落,曹方, 2009-11-11 , 专辑 , CD ,8.1,33006人评价
未完成,孙燕姿, 2003-01-10 , 专辑 , CD ,8.6,34760人评价
OKComputer,Radiohead, 1997 , 专辑 , Audio CD ,9.2,36035人评价
BorntoDie,Lana Del Rey, 2012-01-31 , 专辑 , Audio CD ,8.6,41479人评价
TheWall,Pink Floyd, 1979 , 专辑 , Audio CD ,9.2,37532人评价
不要停止我的音乐,痛仰, 2008-10 , 专辑 , CD ,8.6,39647人评价
HybridTheory,Linkin Park, 2000 , 专辑 , CD ,8.9,31513人评价
MTVUnpluggedinNewYork,Nirvana, 1994-11-01 , Live , Audio CD ,9.5,31494人评价
After17,陈绮贞, 2004年12月 , EP , CD ,9.2,30222人评价
InBetweenDreams,Jack Johnson, 2005-03-22 , 专辑 , Audio CD ,9.0,29312人评价
神的孩子都在跳舞,五月天 Mayday, 2004-11-05 , 专辑 , CD+VCD ,8.9,33499人评价
离开地球表面Jump!,五月天, 2007-07-20 , 专辑 , CD+DVD ,8.7,37338人评价
不想放手,陈奕迅, 2008-06-30 , 专辑 , CD ,8.3,34524人评价
我的歌声里,曲婉婷, 2010-02-24 , 单曲 , 数字(Digital) ,9.2,39636人评价
TheLegendof1900,Ennio Morricone, 1999-10-12 , Soundtrack , Audio CD ,9.4,33133人评价
孤独的人是可耻的,张楚, 1994 , 专辑 , CD ,9.1,34885人评价
徐佳瑩LaLa首张创作专辑,徐佳莹, 2009-05-29 , 专辑 , CD ,8.2,34404人评价
TheBestDamnThing,Avril Lavigne, 2007-04-17 , Import , Audio CD ,7.7,35414人评价
知足justmypride最真杰作选,五月天, 2005-11-18 , 专辑 , CD ,9.1,31810人评价
1,The Beatles, 2000 , 专辑 , CD ,9.4,29238人评价
魔杰座,周杰伦, 2008-10-09 , 专辑 , CD ,6.9,48952人评价
X&Y,Coldplay, 2005-06-07 , 专辑 , CD ,8.4,32790人评价
19,Adele, 2008-01-28 , Import , Audio CD ,8.3,32777人评价
我们在炎热与抑郁的夏天，无法停止抽烟,My Little Airport, 2007-10-10 , 专辑 , CD ,8.1,31997人评价
时光机,五月天, 2003-11-11 , 专辑 , CD ,9.0,31690人评价
YanZi,孙燕姿, 2000-06-08 , 专辑 , CD ,9.0,30900人评价
TimeFlies,陈奕迅, 2010-03-12 , EP , CD+DVD ,8.7,30553人评价
失败者的飞翔,陈绮贞, 2008-07-13 , 单曲 , CD ,8.6,28743人评价
MyLove,田馥甄, 2011-09-02 , 专辑 , CD ,8.0,33335人评价
亲亲,梁静茹, 2006-10-06 , 专辑 , CD ,8.1,32098人评价
你王菲所以我王菲,王菲, 2002 , 选集 , CD ,9.4,31718人评价
StrangerUnderMySkin,陈奕迅, 2011-02-22 , EP , CD ,8.6,29852人评价
ComeAwaywithMe,Norah Jones, 2002 , 专辑 , CD ,8.8,28807人评价
平凡之路,朴树, 2014-07-16 , 单曲 , 数字(Digital),8.9,61146人评价
认了吧,陈奕迅, 2007-04-24 , 专辑 , CD ,8.7,33404人评价
21stCenturyBreakdown,Green Day, 2009-05-15 , 专辑 , CD ,8.5,29005人评价
神的游戏,張懸, 2012-08-10 , 专辑 , CD ,8.7,33132人评价
唱游,王菲, 1998 , 专辑 , CD ,9.2,32888人评价
花的姿态：演唱会经典实录,陈绮贞, 2007-05-18 , 演唱会,Live ,9.2,25818人评价
我去2000年,朴树, 1999-1 , 专辑 , CD ,9.1,36379人评价
YoungForYou,GALA, 2004 , 专辑 , CD ,8.7,29056人评价
自选集,孙燕姿, 2002年1月 , 专辑 , CD ,8.9,27493人评价
理性与感性作品音乐会,李宗盛 Jonathan, 2007-09-28 , 专辑 , CD ,9.5,26914人评价
比天空还远,曹方, 2007-11-20 , EP , CD ,8.5,27044人评价
黑梦,窦唯, 1994-10 , 专辑 , CD ,9.2,33347人评价
介乎法國與旺角的詩意,My Little Airport, 2009-11-20 , 专辑 , CD ,8.1,31478人评价
不能说的秘密,周杰倫和Terdsak Janpan和詹宇豪和陳承麒和黃婉琦和姚蘇蓉和黃俊郎和江語晨和長榮交響樂團, 2007-08-13 , Soundtrack , CD ,8.7,39150人评价
丝路,梁静茹 Fish, 2005-9-16 , 专辑 , CD ,8.2,29869人评价
AllTheLostSouls,James Blunt, 2007-09-18 , Import , Audio CD ,8.5,26050人评价
F.I.R.,F.I.R.和飞儿乐团, 2004-04-29 , 专辑 , CD ,8.6,35200人评价
上五楼的快活,陈奕迅, 2009-09-23 , 专辑 , CD ,7.7,28581人评价
MinutestoMidnight,Linkin Park, 2007-05-15 , 专辑 , CD ,8.2,26711人评价
GOODBYE&HELLO,蔡健雅和Tanya, 2007-10-19 , 专辑 , CD ,8.6,26438人评价
SomeoneLikeYou,Adele, 2011-01-24 , 单曲 , 数字(Digital) ,9.5,34027人评价
迟到千年,苏打绿, 2006-09-18 , EP , CD ,8.8,25990人评价
TheDarkSideoftheMoon,Pink Floyd, 1973 , 专辑 , 黑胶 ,9.1,33956人评价
王菲2001,王菲, 2001 , 专辑 , CD ,9.1,27821人评价
夜空中最亮的星,逃跑计划, 2011-04-12 , 单曲 , 数字(Digital) ,9.4,45342人评价
追梦痴子心,GALA, 2011-03-24 , 专辑 , CD ,8.8,32217人评价
宝贝,莫文蔚, 2010-07-26 , 专辑 , CD ,7.9,26441人评价
黑白灰,陈奕迅, 2003 , 专辑 , CD ,9.1,25670人评价
安和桥北,宋冬野, 2013-08-26 , 专辑 , CD ,8.7,39207人评价
PrisonerofLove,宇多田ヒカル, 2008-05-21 , CD IMPORT , Audio CD ,9.2,25029人评价
Groupies吉他手,陈绮贞, 2002-08-02 , 专辑 , CD ,9.1,25402人评价
NowTheDayIsOver,The Innocence Mission, 2004 , 专辑 , CD ,8.4,24372人评价
Apologize,Timbaland和OneRepublic, 2007-11-06 , Single , Audio CD ,9.2,29697人评价
阿菲正传,王菲, 2009-06-25 , 选集 , CD ,9.4,24709人评价
跨时代,周杰伦, 2010-05-14 , 专辑 , CD ,7.0,34565人评价
Leave,孙燕姿, 2002-5-21 , 专辑 , CD ,8.7,25195人评价
被禁忌的游戏,李志, 2004-12 , 专辑 , CD ,8.8,27703人评价
What'sGoingOn....?,陈奕迅, 2006 , 专辑 , CD ,9.1,25648人评价
第二人生末日版,五月天, 2011-12-20 , 专辑 , CD ,8.9,25244人评价
樂之路,陶喆, 2003-08-08 , 选集 , CD ,9.0,23938人评价
ItWon'tBeSoonBeforeLong,Maroon 5, 2007-05-22 , 专辑 , CD ,8.2,24803人评价
如果你冷,张悬, 2008-10-20 , Bootleg , 数字 ,8.3,25025人评价
陌生人,蔡健雅 Tanya Chua, 2003-06-00 , 专辑 , CD ,8.7,24644人评价
浮躁,王菲, 1996 , Audio CD , 流行,9.2,29492人评价
C'estLaVie,自然卷, 2004 , 专辑 , CD ,8.2,24274人评价
在一起,刘若英, 2010-04-16 , 专辑 , CD ,7.8,24427人评价
TheseFriendsOfMine,Rosie Thomas, 2007-03-13 , 专辑 , Audio CD ,8.7,22851人评价
陪我歌唱,苏打绿, 2008 , 引进版 , CD,9.1,23076人评价
It'sNotMe，It'sYou,Lily Allen, 2009-02-09 , 专辑 , Audio CD ,8.5,23608人评价
TheRose~ILoveCinemas~,手嶌葵, 2008-03-05 , Import , CD ,9.2,23353人评价
我爱南京,李志, 2009-10-16 , 专辑 , CD ,8.6,29275人评价
消失的光年,大乔小乔, 2007-07-12 , 平装版 , CD ,8.2,23204人评价
还有别的办法吗,范晓萱, 2004 , 专辑 , CD ,8.7,22244人评价
日光倾城,卡奇社, 2007-04-20 , 专辑 , CD ,8.1,23837人评价
ALittleLove,冯曦妤, 2008-11-20 , 专辑 , CD ,8.4,22861人评价
Yellow,Coldplay, 2000-07-03 , EP , Audio CD ,9.3,32370人评价
HopesAndFears,Keane, 2004 , 专辑 , Audio CD ,8.9,21974人评价
U87,陈奕迅, 2005-06-07 , 专辑 , CD+DVD ,9.3,24539人评价
LadySleep,Maximilian Hecker, 2005 , Import , Audio CD ,8.8,21202人评价
天空の城ラピュタサウンドトラック飛行石の謎,久石譲(Joe Hisaishi)和杉並児童合唱団和井上杏美, 1993-12-21 , Soundtrack , Audio CD ,9.5,24367人评价
新长征路上的摇滚,崔健, 1989 , 专辑 , CD ,9.2,26604人评价
小飞行,棉花糖和katncandix2, 2009-05-01 , 专辑 , CD ,7.9,22458人评价
春生,好妹妹乐队, 2012-07-01 , 专辑 , CD ,8.8,22892人评价
讓我想一想,陈绮贞, 1998-07-14 , 专辑 , CD ,9.0,22007人评价
未来,方大同, 2007-12-28 , 专辑 , CD ,8.3,22324人评价
爱爱爱,方大同, 2006-12 , 专辑 , CD ,8.6,22643人评价
世界,逃跑计划, 2011-12-31 , 专辑 , CD ,9.0,23604人评价
七天,盧廣仲和卢广仲, 2009-10-30 , 专辑 , CD ,7.8,22106人评价
Nirvana,Nirvana, 2002-10-29 , Extra tracks , Audio CD ,9.2,21406人评价
ARushofBloodtotheHead,Coldplay, 2002 , 专辑 , Audio CD ,8.6,23318人评价
TheVelvetUnderground&Nico,The Velvet Underground和Nico, 1967-04 , 专辑 , CD ,9.0,25384人评价
LoveTheWayYouLie,Eminem和Rihanna, 2010-08-20 , Single , Audio CD ,9.3,25744人评价
天空,王菲, 1994 , 专辑 , CD ,9.3,24682人评价
TheBoatThatRocked,Original Soundtrack, 2009-03-30 , Import , Soundtrack ,9.2,19858人评价
(What'sTheStory)MorningGlory?,Oasis, 1995 , 专辑 , CD ,9.2,23541人评价
PUSSY,陈绮贞, 2007-02-08 , 单曲 , Audio CD ,8.7,20673人评价
呼吸,Salyu, 2001 , 专辑 , CD ,9.0,20502人评价
Fallen,Evanescence, 2003 , 专辑 , Audio CD ,8.5,20733人评价
黑豹,黑豹, 1992-12-01 , 专辑 , CD ,9.1,23624人评价
十年一刻,苏打绿, 2010-08-27 , 视频 , CD+DVD ,8.8,22356人评价
恋爱的力量,梁静茹, 2003年3月 , 专辑 , CD ,8.9,21102人评价
Suede,Suede, 1993 , 专辑 , CD ,8.9,22228人评价
TheBends,Radiohead, 1995 , 专辑 , CD ,9.1,24280人评价
琵琶相,林海, 2004 , 专辑 , CD ,9.3,20846人评价
？,陈奕迅, 2011-11-11 , 专辑 , CD ,8.0,22665人评价
少年故事,彭坦, 2007-07-23 , 专辑 , CD ,8.0,21516人评价
黑暗之光,雷光夏, 2006-12-01 , 专辑 , CD ,8.8,20304人评价
我要我们在一起,范晓萱, 1999-11-1 , 国语 , CD ,8.7,22239人评价
人生海海,五月天, 2001-07-06 , 专辑 , CD ,9.2,22752人评价
MaybeI'mDreaming,Owl City, 2008-03-18 , Import , CD ,8.4,20336人评价
工体东路没有人,李志, 2009-01-22 , 专辑 , 数字 ,9.0,21475人评价
LetItBe,The Beatles, 1990-10-25 , Enhanced , Audio CD ,9.3,21977人评价
Alright，Still,Lily Allen, 2006 , Import , Audio CD ,8.3,19809人评价
大小說家,林宥嘉, 2012-06-22 , 专辑 , CD ,7.9,22970人评价
越长大越孤单,牛奶@咖啡, 2008-03-18 , 专辑 , CD ,7.6,25257人评价
燕尾蝶,梁静茹, 2004 , 专辑 , CD ,8.0,23341人评价
原谅我就是这样的女生,戴佩妮, 2009-05-16 , 专辑 , CD+DVD ,7.6,21162人评价
传奇,王菲, 2010-11-05 , 单曲 , CD ,9.2,22549人评价
UndertheRadar,Daniel Powter, 2008-10-14 , 专辑 , Audio CD ,8.3,19256人评价
知足MV/KaraokeDVD,五月天, 2006 , 视频 , DVD ,9.2,19335人评价
我的歌声里,曲婉婷, 2012-07-01 , 专辑 , CD ,7.7,20732人评价
王菲,王菲, 1997-09-30 , 专辑 , CD ,9.2,24728人评价
信仰在空中飘扬,汪峰, 2009-07-25 , 专辑 , CD ,8.7,19815人评价
[i],莫文蔚, 2002-04-29 , 专辑 , CD ,8.7,20603人评价
SongsAboutJane,Maroon 5, 2002 , 专辑 , Audio CD ,8.5,20685人评价
BackToBlack,Amy Winehouse, 2006-10-30 , 专辑 , Audio CD ,8.5,20694人评价
Demo3,陈绮贞, 2001-11-09 , Demo , CD ,9.1,18747人评价
克卜勒,孙燕姿, 2014-02-27 , 专辑 , CD ,8.4,26084人评价
E=MC²,Mariah Carey, 2008-04-16 , 专辑 , CD ,8.5,19944人评价
9Crimes,Damien Rice, 2006-11-27 , 单曲 , Audio CD ,9.4,18152人评价
如果有一件事是重要的,陈珊妮, 2008-11-22 , 专辑 , CD ,8.2,19336人评价
赤裸裸,郑钧, 1994 , 专辑 , CD ,8.8,21556人评价
阿岳正传,张震岳, 2004-06-24 , 选集 , CD ,9.0,18833人评价
3颗猫饼干,朱玫玲和董運昌和王雁盟和何真真, 2004,04,26 ,9.1,17216人评价
21Guns,Green Day, 2009-07-14 , Single , Audio CD ,9.2,19411人评价
看我72变,蔡依林 Jolin Tsai, 2003-03-07 , 专辑 , CD ,8.2,28529人评价
第二人生明日版,五月天, 2011-12-20 , 专辑 , CD ,9.0,19073人评价
DefinitelyMaybe,Oasis, 1994-08-30 , 专辑 , CD ,9.0,21028人评价
FirstLove,宇多田ヒカル, 1999 , 专辑 , CD ,9.1,21094人评价
阿密特,张惠妹, 2009-06-26 , 专辑 , CD ,7.7,21268人评价
心·跳,王力宏 Leehom Wang, 2008-12-26 , 专辑 , CD ,7.1,22289人评价
xx,The xx, 2009-08-17 , 专辑 , CD ,8.7,20755人评价
回蔚,莫文蔚, 2009-06-23 , 专辑 , CD+DVD ,8.0,19372人评价
如果看見地獄，我就不怕魔鬼,Tizzy Bac, 2009-02-13 , 专辑 , CD ,8.1,18582人评价
我们是五月天,五月天, 2003年4月17日 , 专辑 , CD ,9.3,19753人评价
王妃,萧敬腾, 2009-07-17 , 专辑 , CD ,7.7,22394人评价
PokerFace,Lady Gaga, September 23， 2008 , Single , Audio CD ,8.7,21987人评价
唐朝,唐朝, 1992-12 , CD＋DVD , CD ,9.0,19742人评价
寻找周杰伦,周杰伦, 2003-12-1 , EP , 音乐CD ,8.5,23780人评价
她说,林俊杰, 2010-12-08 , 专辑 , CD ,7.7,28313人评价
